timestamp,close,high,low,open,volume,return,volatility,rsi,hl_range,oc_range,ma_50,ma_200,log_volume,vwap,vwap_ratio,lag_1,lag_5,lag_20,target,volatility_21,momentum_10,momentum_21,momentum_63,day_of_week,quarter,bb_upper,bb_lower,bb_position,bb_width,atr_14,atr_ratio,obv,obv_change,volume_ratio,rsi_change,rsi_ma,vol_5,vol_63,vol_ratio,month,week_of_year,rolling_max,drawdown,sentiment_score,sentiment_ma5,sentiment_vol
2011-04-12,1.6433329582214355,1.6806670427322388,1.6200000047683716,1.6720000505447388,20361000,,,,0.036917070068092944,0.01744448206912941,,,16.829131913467506,1.6480000019073486,0.9971680560191071,,,,1,,,,,1,2,,,,,,,,,,,,,,,4,15,,,,0.0,0.0
2011-04-13,1.6619999408721924,1.7126669883728027,1.6540000438690186,1.675333023071289,18172500,0.01135922124446398,,,0.03529900516903548,0.00802231207788111,,,16.715420075369128,1.676222324371338,0.9915152165125354,,,,1,,,,,2,2,,,,,,,18172500.0,,,,,,,,4,15,,,,0.0,0.0
2011-04-14,1.6759999990463257,1.685333013534546,1.613332986831665,1.6579999923706057,14751000,0.008423621343082832,,,0.04295944316458841,-0.01073986079114697,,,16.506821502854198,1.658221999804179,1.0107211213240725,0.01135922124446398,,,1,,,,,3,2,,,,,,,32923500.0,,,,,,,,4,15,,,,0.0,0.0
2011-04-15,1.7053329944610596,1.745332956314087,1.694000005722046,1.7100000381469729,14152500,0.01750178725025342,,,0.030101423451473118,0.00273673452696448,,,16.465401915551844,1.7148886521657307,0.9944278261491769,0.008423621343082832,,,1,,,,,4,2,,,,,,,47076000.0,,,,,,,,4,15,,,,0.0,0.0
2011-04-18,1.668666958808899,1.7079999446868896,1.6239999532699585,1.675333023071289,15508500,-0.021500807039594227,,,0.05033957853213003,0.0039948440443432764,,,16.55689888315776,1.666888952255249,1.0010666616700796,0.01750178725025342,,,1,,,,,0,2,,,,,,,31567500.0,,,,,,,,4,16,,,,0.0,0.0
2011-04-19,1.6773329973220823,1.684000015258789,1.6433329582214355,1.684000015258789,8230500,0.005193390129429654,,,0.024245070658169738,0.003974773016062332,,,15.923357445648572,1.6682219902674358,1.0054615075858016,-0.021500807039594227,,,1,,,,,1,2,,,,,,,39798000.0,,,,,0.015062778401688588,,,4,16,,,,0.0,0.0
2011-04-20,1.7166670560836792,1.7393330335617063,1.6866669654846191,1.713333010673523,12558000,0.02345035769545767,,,0.03067925599809493,-0.0019421619342788457,,,16.345868550286703,1.7142223517100017,1.0014261302632292,0.005193390129429654,0.01135922124446398,,1,,,,,2,2,,,,,,,52356000.0,1.8810565414775073,,,,0.017304205325545777,,,4,16,,,,0.0,0.0
2011-04-21,1.78266704082489,1.7986669540405271,1.7059999704360962,1.7233330011367798,20791500,0.03844658433172232,,,0.051982216242440496,-0.03328385970531805,,,16.85005485540023,1.7624446551005046,1.0114740543289469,0.02345035769545767,0.008423621343082832,,1,,,,,3,2,,,,,,,73147500.0,1.2217413093990617,,,,0.022514023101834466,,,4,16,,,,0.0,0.0
2011-04-25,1.7593330144882202,1.781999945640564,1.7313330173492432,1.7799999713897705,12013500,-0.013089391233638503,,,0.028798941345427726,0.011747040913435135,,,16.30154165865367,1.757555325826009,1.0010114553073177,0.03844658433172232,0.01750178725025342,,1,,,,,0,2,,,,,,,61134000.0,0.29862350242161617,,,,0.024886721105798752,,,4,17,,,,0.0,0.0
2011-04-26,1.7953330278396606,1.816666960716248,1.753999948501587,1.7773330211639404,21000000,0.020462307621682774,,,0.03490550847274772,-0.010025998740400702,,,16.860033043306743,1.7886666456858318,1.0037270120566668,-0.013089391233638503,-0.021500807039594227,,0,,,,,1,2,,,,,,,82134000.0,1.6018531717747684,,,,0.01959664220705076,,,4,17,,,,0.0,0.0
2011-04-27,1.8053330183029173,1.8240000009536743,1.775333046913147,1.7953330278396606,14953500,0.005569991922495632,,,0.026957327843189927,-0.005539138963212998,,,16.52045601098698,1.8015553553899128,1.002096889724594,0.020462307621682774,0.005193390129429654,,0,,0.09858018076678321,,,2,2,,,,,,,97087500.0,1.439507010402533,,,,0.019550712833519526,,,4,17,,,,0.0,0.0
2011-04-28,1.843999981880188,1.8459999561309812,1.7813329696655271,1.8046669960021973,24000000,0.02141818887997693,,,0.03506886502217752,-0.021330252854929985,,,16.993564429978885,1.8237776358922322,1.0110881642531286,0.005569991922495632,0.02345035769545767,,0,,0.10950664710161462,,,3,2,,,,,,,121087500.0,1.31277217510887,,,,0.019350387399443315,,,4,17,,,,0.0,0.0
2011-04-29,1.840000033378601,1.8580000400543213,1.8279999494552608,1.8459999561309812,10890000,-0.0021691694907222114,,,0.016304396768936167,0.0032608275236621132,,,16.203355586736503,1.8420000076293945,0.9989142376533606,0.02141818887997693,0.03844658433172232,,0,,0.09785204917994883,,,4,2,,,,,,,110197500.0,0.5065108171844561,,,,0.014809144771562454,,,4,17,,,,0.0,0.0
2011-05-02,1.830000042915344,1.853332996368408,1.8040000200271609,1.840000033378601,11769000,-0.00543477732709341,,77.8884704171019,0.026957909936797343,0.005464475534834541,,,16.280979598828782,1.8291110197703044,1.00048604110709,-0.0021691694907222114,-0.013089391233638503,,0,,0.07310422589559007,,,0,2,,,,,0.061238297394343784,0.03346354970395849,98428500.0,0.6100451467268624,,,,0.012501623728508498,,,5,18,,,0.20211490309793792,0.0,0.0
2011-05-03,1.7913329601287842,1.825999975204468,1.7666670083999634,1.8253329992294312,13708500,-0.02112955293976926,,69.82138181994539,0.033122243672800505,0.01898030118208879,,,16.43352670930994,1.7946666479110718,0.9981424473530124,-0.00543477732709341,0.020462307621682774,,1,,0.0735113742573561,,,1,2,,,,,0.06142872571945189,0.03429218748648247,84720000.0,0.031485134049236585,,,,0.015571243572472778,,,5,18,,,0.10964664926123577,0.0,0.0
2011-05-04,1.779332995414734,1.7999999523162842,1.7166670560836792,1.7853330373764038,15667500,-0.006698902426932052,,65.99993830892754,0.046833783472430585,0.003372073679930375,,,16.567099124907358,1.7653333346048992,1.00793032145001,-0.02112955293976926,0.005569991922495632,,0,,0.060810821855587616,,,2,2,,,,,0.06242864472525459,0.035085419584827894,69052500.0,-0.2887601390498262,,,,0.01537070738469748,,,5,18,,,0.03182465496906585,0.0,0.0
2011-05-05,1.762666940689087,1.829332947731018,1.7446670532226562,1.8133330345153809,18277500,-0.009366461909375512,,61.73289275905117,0.04803283737497398,0.02874399732401337,,,16.721181407861685,1.7788889805475872,0.9908808025481688,-0.006698902426932052,0.02141818887997693,,1,,0.026796043206158915,,,3,2,,,,,0.06333334956850323,0.03593041209687864,50775000.0,-0.5806751316196965,,,,0.007278708091306613,,,5,18,,,-0.11845103615613704,0.0,0.0
2011-05-06,1.807999968528748,1.846667051315308,1.7746670246124268,1.7933330535888672,14725500,0.025718430857924135,,63.3218421813114,0.03982302431203636,-0.008112231855742759,,,16.50509131069223,1.8097780148188276,0.9990175334900079,-0.009366461909375512,-0.0021691694907222114,,0,,0.01421068944660342,,,4,2,,,,,0.06438100337982179,0.03560896266619493,65500500.0,-0.40560811270673114,,,,0.01741292789823489,,,5,18,,,-0.10598690577489851,0.023829653079440797,0.0
2011-05-09,1.8606669902801516,1.8666670322418213,1.7899999618530271,1.7999999523162842,13746000,0.029129990413805817,,73.92021746306682,0.04120407939157924,-0.03260499502639807,,,16.43625850341212,1.839111328125,1.011720694568897,0.025718430857924135,-0.00543477732709341,,0,,0.05759795044908467,,,0,2,,,,,0.06385722330638344,0.03431953360809006,79246500.0,-0.19488257974062395,,-3.96825295403508,,0.02250960182065192,,,5,19,,,0.25521803504758084,0.034450279469369384,0.0
